#Parameters = {distance_slot=0.6; distance_wg=1; h_wg=5; l1_slot=15; l2_slot=1; l_wg=110; lambda=30; t_wg=0.1; w_wg=21.94; Mesh Pass=3}
#"Z / mm"	"h-field_center_1 (Mesh Pass=3) [Re]"	"h-field_center_1 (Mesh Pass=3) [Im]"
#------------------------------------------------------------------------------------
0.82500000000000	1.2684917449951	0.76892256736755
0.96250000000001	1.2991777658463	0.75508558750153
1.1000000000000	1.3297154903412	0.74123728275299
1.2375000000000	1.3591527938843	0.72733730077744
1.3750000000000	1.3874633312225	0.71338438987732
1.5125000000000	1.4155747890472	0.69942778348923
1.6500000000000	1.4405326843262	0.68541276454926
1.7875000000000	1.4654905796051	0.67139774560928
1.9250000000000	1.4904484748840	0.65738272666931
2.0625000000000	1.5154064893723	0.64336776733398
2.2000000000000	1.5371946096420	0.62934362888336
2.3375000000000	1.5574512481689	0.61531519889832
2.4750000000000	1.5777080059052	0.60128676891327
2.6125000000000	1.5979646444321	0.58725833892822
2.7500000000000	1.6182212829590	0.57322984933853
2.8875000000000	1.6339694261551	0.55922353267670
3.0250000000000	1.6492168903351	0.54521965980530
3.1625000000000	1.6644644737244	0.53121578693390
3.3000000000000	1.6797119379044	0.51721191406250
3.4375000000000	1.6943312883377	0.50321137905121
3.5750000000000	1.7045896053314	0.48923444747925
3.7125000000000	1.7148478031158	0.47525745630264
3.8500000000000	1.7251060009003	0.46128046512604
3.9875000000000	1.7353641986847	0.44730347394943
4.1250000000000	1.7439038753510	0.43333202600479
4.2625000000000	1.7492761611938	0.41937083005905
4.4000000000000	1.7546484470367	0.40540954470634
4.5375000000000	1.7600207328796	0.39144831895828
4.6750000000000	1.7653930187225	0.37748703360558
4.8125000000000	1.7680325508118	0.36352965235710
4.9500000000000	1.7686731815338	0.34957507252693
5.0875000000000	1.7693140506744	0.33562046289444
5.2250000000000	1.7699548006058	0.32166588306427
5.3625000000000	1.7705955505371	0.30771124362946
5.5000000000000	1.7675867080688	0.29376500844955
5.6375000000000	1.7636849880219	0.27982085943222
5.7750000000000	1.7597830295563	0.26587665081024
5.9125000000000	1.7558810710907	0.25193244218826
6.0500000000000	1.7518528699875	0.23798915743828
6.1875000000000	1.7436236143112	0.22407650947571
6.3250000000000	1.7353943586349	0.21016386151314
6.4625000000000	1.7271651029587	0.19625118374825
6.6000000000000	1.7189358472824	0.18233853578568
6.7375000000000	1.7096638679504	0.16844359040260
6.8750000000000	1.6973466873169	0.15460062026978
7.0125000000000	1.6850295066833	0.14075762033463
7.1500000000000	1.6727120876312	0.12691457569599
7.2875000000000	1.6603949069977	0.11307158321142
7.4250000000000	1.6462388038635	0.099288195371628
7.5625000000000	1.6300975084305	0.085569262504578
7.7000000000000	1.6139562129974	0.071850329637527
7.8375000000000	1.5978150367737	0.058131340891123
7.9750000000000	1.5816737413406	0.044412404298782
8.1125000000000	1.5630340576172	0.030829723924398
8.2500000000000	1.5433576107025	0.017303656786680
8.3875000000000	1.5236811637878	0.0037775915116072
8.5250000000000	1.5040047168732	-0.0097484719008207
8.6625000000000	1.4843280315399	-0.023274635896087
8.8000000000000	1.4616496562958	-0.036546301096678
8.9375000000000	1.4387543201447	-0.049799568951130
9.0750000000000	1.4158588647842	-0.063052833080292
9.2125000000000	1.3929634094238	-0.076306104660034
9.3500000000000	1.3696126937866	-0.089502297341824
9.4875000000000	1.3438436985016	-0.10239466279745
